timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1695566721592,34,/success.txt-78,200,OK,Thread Group 1-3,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,34,0,0
1695566721593,35,/success.txt-81,200,OK,Thread Group 1-5,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,35,0,0
1695566721608,34,/canonical.html-50,200,OK,Thread Group 1-8,text,true,,298,303,20,20,http://detectportal.firefox.com/canonical.html,34,0,0
1695566721614,41,/canonical.html-28,200,OK,Thread Group 1-20,text,true,,297,303,20,20,http://detectportal.firefox.com/canonical.html,41,0,0
1695566721616,40,/success.txt-33,200,OK,Thread Group 1-13,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,40,0,0
1695566721626,36,/canonical.html-80,200,OK,Thread Group 1-3,text,true,,298,303,20,20,http://detectportal.firefox.com/canonical.html,35,0,0
1695566721628,35,/success.txt-82,200,OK,Thread Group 1-5,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,35,0,0
1695566721623,40,/success.txt-85,200,OK,Thread Group 1-2,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,40,0,0
1695566720808,856,/-18,400,Bad Request,Thread Group 1-4,text,false,,200,476,20,20,http://r3.o.lencr.org/,856,0,3
1695566721624,41,/success.txt-108,200,OK,Thread Group 1-9,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,41,0,0
1695566721623,43,/success.txt-16,200,OK,Thread Group 1-12,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,43,0,0
1695566721642,34,/success.txt-52,200,OK,Thread Group 1-8,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,34,0,0
1695566721663,35,/canonical.html-83,200,OK,Thread Group 1-5,text,true,,298,303,20,20,http://detectportal.firefox.com/canonical.html,35,0,0
1695566721662,38,/success.txt-81,200,OK,Thread Group 1-3,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,38,0,0
1695566721656,46,/success.txt-34,200,OK,Thread Group 1-13,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,46,0,0
1695566721663,40,/canonical.html-86,200,OK,Thread Group 1-2,text,true,,298,303,20,20,http://detectportal.firefox.com/canonical.html,40,0,0
1695566721665,43,/success.txt-109,200,OK,Thread Group 1-9,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,43,0,0
1695566721664,44,/canonical.html-19,200,OK,Thread Group 1-4,text,true,,297,303,20,20,http://detectportal.firefox.com/canonical.html,44,0,0
1695566721676,34,/success.txt-51,200,OK,Thread Group 1-8,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,34,0,0
1695566720851,861,/-18,400,Bad Request,Thread Group 1-17,text,false,,200,476,20,20,http://r3.o.lencr.org/,861,0,3
1695566721700,46,/success.txt-82,200,OK,Thread Group 1-3,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,46,0,0
1695566721710,36,/canonical.html-53,200,OK,Thread Group 1-8,text,true,,298,303,20,20,http://detectportal.firefox.com/canonical.html,36,0,0
1695566721698,50,/success.txt-84,200,OK,Thread Group 1-5,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,50,0,0
1695566721703,51,/success.txt-88,200,OK,Thread Group 1-2,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,51,0,0
1695566721712,42,/canonical.html-19,200,OK,Thread Group 1-17,text,true,,298,303,20,20,http://detectportal.firefox.com/canonical.html,42,0,0
1695566721708,47,/success.txt-21,200,OK,Thread Group 1-4,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,47,0,0
1695566721702,53,/canonical.html-35,200,OK,Thread Group 1-13,text,true,,297,303,20,20,http://detectportal.firefox.com/canonical.html,53,0,0
1695566721708,47,/canonical.html-1,200,OK,Thread Group 1-9,text,true,,298,303,20,20,http://detectportal.firefox.com/canonical.html,47,0,0
1695566720925,832,/-18,400,Bad Request,Thread Group 1-1,text,false,,200,476,20,20,http://r3.o.lencr.org/,832,0,5
1695566721747,60,/success.txt-55,200,OK,Thread Group 1-8,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,60,0,0
1695566721749,59,/success.txt-85,200,OK,Thread Group 1-5,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,59,0,0
1695566721746,64,/canonical.html-83,200,OK,Thread Group 1-3,text,true,,298,303,20,20,http://detectportal.firefox.com/canonical.html,64,0,0
1695566721754,59,/success.txt-21,200,OK,Thread Group 1-17,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,59,0,0
1695566721757,57,/canonical.html-19,200,OK,Thread Group 1-1,text,true,,297,303,20,20,http://detectportal.firefox.com/canonical.html,57,0,0
1695566721754,60,/canonical.html-89,200,OK,Thread Group 1-2,text,true,,298,303,20,20,http://detectportal.firefox.com/canonical.html,60,0,0
1695566721755,60,/success.txt-2,200,OK,Thread Group 1-9,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,60,0,0
1695566721755,61,/success.txt-36,200,OK,Thread Group 1-13,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,61,0,0
1695566721755,61,/success.txt-20,200,OK,Thread Group 1-4,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,61,0,0
1695566721087,754,/openh264-win64-2e1774ab6dc6c43debb0b5b628bdf122a391d521.zip-31,200,OK,Thread Group 1-14,text,true,,453427,305,20,20,http://ciscobinary.openh264.org/openh264-win64-2e1774ab6dc6c43debb0b5b628bdf122a391d521.zip,131,0,0
1695566721807,36,/success.txt-54,200,OK,Thread Group 1-8,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,36,0,0
1695566721808,38,/canonical.html-86,200,OK,Thread Group 1-5,text,true,,298,303,20,20,http://detectportal.firefox.com/canonical.html,38,0,0
1695566721810,37,/success.txt-84,200,OK,Thread Group 1-3,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,37,0,0
1695566721814,39,/success.txt-20,200,OK,Thread Group 1-17,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,39,0,0
1695566721814,39,/success.txt-21,200,OK,Thread Group 1-1,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,39,0,0
1695566721814,40,/success.txt-87,200,OK,Thread Group 1-2,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,40,0,0
1695566721816,40,/success.txt-37,200,OK,Thread Group 1-13,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,40,0,0
1695566721815,41,/success.txt-3,200,OK,Thread Group 1-9,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,41,0,0
1695566721816,44,/canonical.html-22,200,OK,Thread Group 1-4,text,true,,297,303,20,20,http://detectportal.firefox.com/canonical.html,44,0,0
1695566721844,33,/canonical.html-56,200,OK,Thread Group 1-8,text,true,,298,303,20,20,http://detectportal.firefox.com/canonical.html,33,0,0
1695566721846,34,/success.txt-88,200,OK,Thread Group 1-5,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,34,0,0
1695566721847,34,/success.txt-85,200,OK,Thread Group 1-3,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,34,0,0
1695566721841,42,/canonical.html-32,200,OK,Thread Group 1-14,text,true,,298,303,20,20,http://detectportal.firefox.com/canonical.html,42,0,0
1695566721853,40,/canonical.html-22,200,OK,Thread Group 1-17,text,true,,298,303,20,20,http://detectportal.firefox.com/canonical.html,40,0,0
1695566721853,41,/success.txt-20,200,OK,Thread Group 1-1,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,41,0,0
1695566721877,37,/canonical.html-59,200,OK,Thread Group 1-8,text,true,,298,303,20,20,http://detectportal.firefox.com/canonical.html,37,0,0
1695566721854,60,/success.txt-90,200,OK,Thread Group 1-2,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,60,0,0
1695566721856,59,/canonical.html-38,200,OK,Thread Group 1-13,text,true,,297,303,20,20,http://detectportal.firefox.com/canonical.html,59,0,0
1695566721881,35,/canonical.html-86,200,OK,Thread Group 1-3,text,true,,298,303,20,20,http://detectportal.firefox.com/canonical.html,35,0,0
1695566721856,60,/canonical.html-4,200,OK,Thread Group 1-9,text,true,,298,303,20,20,http://detectportal.firefox.com/canonical.html,60,0,0
1695566721860,56,/success.txt-24,200,OK,Thread Group 1-4,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,56,0,0
1695566721880,37,/canonical.html-89,200,OK,Thread Group 1-5,text,true,,298,303,20,20,http://detectportal.firefox.com/canonical.html,37,0,0
1695566721083,835,/-18,400,Bad Request,Thread Group 1-18,text,false,,200,476,20,20,http://r3.o.lencr.org/,835,0,7
1695566721883,41,/success.txt-33,200,OK,Thread Group 1-14,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,41,0,0
1695566721894,40,/canonical.html-22,200,OK,Thread Group 1-1,text,true,,298,303,20,20,http://detectportal.firefox.com/canonical.html,40,0,0
1695566721893,41,/success.txt-24,200,OK,Thread Group 1-17,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,41,0,0
1695566721914,34,/success.txt-57,200,OK,Thread Group 1-8,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,34,0,0
1695566721655,293,/success.txt-29,200,OK,Thread Group 1-20,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,293,0,0
1695566721917,34,/success.txt-88,200,OK,Thread Group 1-3,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,34,0,0
1695566721917,34,/success.txt-87,200,OK,Thread Group 1-5,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,34,0,0
1695566721915,40,/success.txt-40,200,OK,Thread Group 1-13,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,40,0,0
1695566721914,42,/success.txt-91,200,OK,Thread Group 1-2,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,42,0,0
1695566721917,42,/success.txt-5,200,OK,Thread Group 1-9,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,42,0,0
1695566721917,42,/success.txt-23,200,OK,Thread Group 1-4,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,42,0,0
1695566721918,43,/canonical.html-19,200,OK,Thread Group 1-18,text,true,,298,303,20,20,http://detectportal.firefox.com/canonical.html,43,0,0
1695566721925,40,/success.txt-34,200,OK,Thread Group 1-14,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,40,0,0
1695566721934,40,/success.txt-24,200,OK,Thread Group 1-1,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,40,0,0
1695566721934,44,/success.txt-23,200,OK,Thread Group 1-17,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,44,0,0
1695566721948,36,/success.txt-58,200,OK,Thread Group 1-8,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,36,0,0
1695566721951,36,/canonical.html-89,200,OK,Thread Group 1-3,text,true,,298,303,20,20,http://detectportal.firefox.com/canonical.html,36,0,0
1695566721951,36,/success.txt-90,200,OK,Thread Group 1-5,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,36,0,0
1695566721948,42,/success.txt-30,200,OK,Thread Group 1-20,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,42,0,0
1695566721955,41,/success.txt-39,200,OK,Thread Group 1-13,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,41,0,0
1695566721956,42,/canonical.html-92,200,OK,Thread Group 1-2,text,true,,298,303,20,20,http://detectportal.firefox.com/canonical.html,42,0,0
1695566721959,43,/canonical.html-25,200,OK,Thread Group 1-4,text,true,,297,303,20,20,http://detectportal.firefox.com/canonical.html,43,0,0
1695566721959,43,/success.txt-6,200,OK,Thread Group 1-9,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,43,0,0
1695566721961,41,/success.txt-21,200,OK,Thread Group 1-18,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,41,0,0
1695566721965,40,/canonical.html-35,200,OK,Thread Group 1-14,text,true,,298,303,20,20,http://detectportal.firefox.com/canonical.html,40,0,0
1695566721974,42,/success.txt-23,200,OK,Thread Group 1-1,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,42,0,0
1695566722002,15,/docs-7,200,OK,Thread Group 1-9,text,true,,982,369,20,20,http://api.demo.hidayahsmart.solutions/docs,15,0,0
1695566721978,40,/canonical.html-25,200,OK,Thread Group 1-17,text,true,,298,303,20,20,http://detectportal.firefox.com/canonical.html,40,0,0
1695566721984,36,/canonical.html-62,200,OK,Thread Group 1-8,text,true,,298,303,20,20,http://detectportal.firefox.com/canonical.html,36,0,0
1695566721987,34,/success.txt-87,200,OK,Thread Group 1-3,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,34,0,0
1695566721987,34,/success.txt-91,200,OK,Thread Group 1-5,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,34,0,0
1695566721169,859,/-18,400,Bad Request,Thread Group 1-11,text,false,,200,476,20,20,http://r3.o.lencr.org/,858,0,4
1695566721998,47,/success.txt-93,200,OK,Thread Group 1-2,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,47,0,0
1695566721996,49,/canonical.html-41,200,OK,Thread Group 1-13,text,true,,297,303,20,20,http://detectportal.firefox.com/canonical.html,49,0,0
1695566722002,46,/success.txt-27,200,OK,Thread Group 1-4,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,46,0,0
1695566721222,827,/-18,400,Bad Request,Thread Group 1-7,text,false,,200,476,20,20,http://r3.o.lencr.org/,827,0,5
1695566722002,50,/success.txt-20,200,OK,Thread Group 1-18,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,50,0,0
1695566722005,48,/success.txt-36,200,OK,Thread Group 1-14,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,48,0,0
1695566722020,34,/success.txt-61,200,OK,Thread Group 1-8,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,34,0,0
1695566722021,34,/success.txt-90,200,OK,Thread Group 1-3,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,34,0,0
1695566722021,34,/canonical.html-92,200,OK,Thread Group 1-5,text,true,,298,303,20,20,http://detectportal.firefox.com/canonical.html,34,0,0
1695566722016,40,/canonical.html-25,200,OK,Thread Group 1-1,text,true,,297,303,20,20,http://detectportal.firefox.com/canonical.html,40,0,0
1695566722017,49,/canonical.html-9,200,OK,Thread Group 1-9,text,true,,298,303,20,20,http://detectportal.firefox.com/canonical.html,49,0,0
1695566722018,48,/success.txt-27,200,OK,Thread Group 1-17,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,48,0,0
1695566721199,868,/-18,400,Bad Request,Thread Group 1-19,text,false,,200,476,20,20,http://r3.o.lencr.org/,868,0,5
1695566722028,41,/canonical.html-19,200,OK,Thread Group 1-11,text,true,,298,303,20,20,http://detectportal.firefox.com/canonical.html,41,0,0
1695566722046,42,/success.txt-94,200,OK,Thread Group 1-2,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,42,0,0
1695566722046,45,/success.txt-43,200,OK,Thread Group 1-13,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,45,0,0
1695566722050,41,/canonical.html-19,200,OK,Thread Group 1-7,text,true,,298,303,20,20,http://detectportal.firefox.com/canonical.html,41,0,0
1695566722049,42,/success.txt-26,200,OK,Thread Group 1-4,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,42,0,0
1695566722054,38,/success.txt-60,200,OK,Thread Group 1-8,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,38,0,0
1695566722055,38,/success.txt-91,200,OK,Thread Group 1-3,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,38,0,0
1695566722055,38,/success.txt-93,200,OK,Thread Group 1-5,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,38,0,0
1695566722052,43,/canonical.html-22,200,OK,Thread Group 1-18,text,true,,298,303,20,20,http://detectportal.firefox.com/canonical.html,43,0,0
1695566722054,44,/success.txt-37,200,OK,Thread Group 1-14,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,44,0,0
1695566722056,44,/success.txt-27,200,OK,Thread Group 1-1,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,44,0,0
1695566721251,854,/-18,400,Bad Request,Thread Group 1-10,text,false,,200,476,20,20,http://r3.o.lencr.org/,853,0,4
1695566722066,40,/success.txt-26,200,OK,Thread Group 1-17,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,40,0,0
1695566722066,41,/success.txt-11,200,OK,Thread Group 1-9,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,41,0,0
1695566722068,41,/canonical.html-19,200,OK,Thread Group 1-19,text,true,,297,303,20,20,http://detectportal.firefox.com/canonical.html,41,0,0
1695566722069,42,/success.txt-21,200,OK,Thread Group 1-11,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv6,42,0,0
1695566722092,34,/success.txt-63,200,OK,Thread Group 1-8,text,true,,216,305,20,20,http://detectportal.firefox.com/success.txt?ipv4,34,0,0
1695566722088,40,/canonical.html-95,200,OK,Thread Group 1-2,text,true,,298,303,20,20,http://detectportal.firefox.com/canonical.html,40,0,0
